37314320CI
02/08/2015 17:45.02.000 PST
Maneadero Baja California Earthquake
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CI DLA broadband accelerometer ENZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CI DLA broadband accelerometer ENZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CI DLA broadband accelerometer ENZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CI DLA broadband accelerometer ENZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CI DLA broadband accelerometer ENZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CI DLA broadband accelerometer ENZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CI DLA broadband accelerometer ENZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CI DLA broadband accelerometer ENZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
ce usc miniband accelerometer Z
CI dla broadband accelerometer ENZ
CI PAS short-period low-gain N
NP 1234 broadband highGAIN 123
NP PAS broadband highGAIN 123
CE 01391 long-period high-gain 13
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CI DLA broadband accelerometer ENZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
CE 01391 long-period high-gain 13
CI PAS short-period low-gain NEZ
